Name,Age,Location,Gender,Weight(kg),Height(cm),BMI,Dietary Preference,Allergies,Workout Frequency,Workout Type,Workout Duration,Fitness Goals,Progress,Features Used,App Time(minutes),Interaction,Content Preference
*,"[18, 36[",******************************************************************,Female,75,167,26.9,Vegan,Shellfish,6,Mixed,112,Endurance,Moderate,Health Stats,87,Forum,Meal plans
*,"[36, 54[",******************************************************************,Male,98,172,33.1,Vegetarian,Dairy,3,Strength Training,52,Muscle gain,Moderate,Meal Tracker,108,Comments,Meal plans
*,"[54, 66[",******************************************************************,Non-binary,68,185,19.9,Mediterranean,Gluten,2,Cardio,84,Flexibility,Moderate,Challenges,40,None,Workout videos
*,"[36, 54[",******************************************************************,Non-binary,100,169,35.0,Low-fat,Dairy,6,Strength Training,26,Weight loss,Significant,Progress Tracker,57,Comments,Articles
*,"[18, 36[",******************************************************************,Female,87,198,22.2,Vegan,Peanuts,3,Cardio,54,Endurance,Improved,Challenges,30,Comments,Workout videos
*,"[36, 54[",******************************************************************,Non-binary,108,186,31.2,Keto,None,3,Running,36,Flexibility,Significant,Challenges,23,None,Meal plans
*,"[18, 36[",******************************************************************,Male,64,188,18.1,Keto,Dairy,6,Yoga,120,Flexibility,No change,Progress Tracker,76,Forum,Meal plans
*,"[36, 54[",******************************************************************,Non-binary,105,181,32.1,Gluten-free,Dairy,2,Running,44,Muscle gain,Significant,Health Stats,106,Forum,Articles
*,"[54, 66[",******************************************************************,Non-binary,54,197,13.9,Paleo,Peanuts,2,Mixed,97,Muscle gain,Improved,Meal Tracker,91,Forum,Meal plans
*,"[36, 54[",******************************************************************,Female,94,195,24.7,Vegan,None,7,Yoga,63,Weight loss,No change,Meal Tracker,83,Messages,Articles
*,"[54, 66[",******************************************************************,Female,112,169,39.2,Low-carb,Gluten,7,Cardio,55,Endurance,Significant,Challenges,31,None,Workout videos
*,"[54, 66[",******************************************************************,Male,96,179,30.0,Paleo,Shellfish,2,Strength Training,27,Endurance,Moderate,Challenges,62,None,Meal plans
*,"[36, 54[",******************************************************************,Male,63,160,24.6,Vegan,None,5,HIIT,57,Cardiovascular health,No change,Workout Creator,75,Forum,Articles
*,"[54, 66[",******************************************************************,Non-binary,86,165,31.6,Low-carb,Peanuts,4,Yoga,99,Endurance,Moderate,Virtual Coach,78,Comments,Meal plans
*,"[54, 66[",******************************************************************,Non-binary,106,155,44.1,Vegan,Dairy,6,HIIT,73,Endurance,No change,Challenges,114,Comments,Articles
*,"[36, 54[",******************************************************************,Female,117,192,31.7,Paleo,Shellfish,4,Mixed,96,Cardiovascular health,Significant,Health Stats,59,Forum,Workout videos
*,"[18, 36[",******************************************************************,Male,64,189,17.9,Gluten-free,Gluten,6,Running,101,Endurance,Moderate,Meal Tracker,64,None,Articles
*,"[18, 36[",******************************************************************,Male,116,160,45.3,Low-carb,Peanuts,2,Cardio,51,Muscle gain,Significant,Challenges,79,Comments,Workout videos
*,"[18, 36[",******************************************************************,Male,82,177,26.2,Paleo,Dairy,1,Yoga,32,Flexibility,No change,Workout Creator,114,Forum,Articles
*,"[36, 54[",******************************************************************,Male,58,173,19.4,Gluten-free,Gluten,3,Running,107,Cardiovascular health,Significant,Workout Creator,66,Comments,Meal plans
*,"[36, 54[",******************************************************************,Female,72,180,22.2,Vegan,Gluten,3,Cardio,72,Weight loss,Significant,Challenges,50,Comments,Articles
*,"[54, 66[",******************************************************************,Non-binary,59,160,23.0,Low-carb,Shellfish,6,Strength Training,81,Weight loss,Improved,Meal Tracker,89,Comments,Meal plans
*,"[36, 54[",******************************************************************,Non-binary,77,153,32.9,Vegan,Peanuts,2,Running,35,Cardiovascular health,Improved,Workout Creator,20,None,Meal plans
*,"[54, 66[",******************************************************************,Male,88,197,22.7,Vegetarian,Dairy,4,Yoga,28,Cardiovascular health,Significant,Challenges,89,Forum,Articles
*,"[18, 36[",******************************************************************,Female,94,166,34.1,Paleo,Dairy,2,Mixed,101,Flexibility,Improved,Meal Tracker,62,None,Workout videos
*,"[54, 66[",******************************************************************,Non-binary,72,179,22.5,Low-carb,Dairy,3,HIIT,60,Muscle gain,Improved,Challenges,54,Comments,Workout videos
*,"[36, 54[",******************************************************************,Female,52,159,20.6,Mediterranean,Shellfish,6,HIIT,46,Endurance,No change,Meal Tracker,76,Forum,Workout videos
*,"[36, 54[",******************************************************************,Non-binary,95,161,36.6,Vegetarian,Shellfish,3,Yoga,22,Flexibility,No change,Meal Tracker,93,None,Workout videos
*,"[36, 54[",******************************************************************,Non-binary,74,196,19.3,Mediterranean,Shellfish,2,Mixed,97,Muscle gain,Significant,Progress Tracker,56,Messages,Articles
*,"[18, 36[",******************************************************************,Non-binary,50,173,16.7,Low-fat,Shellfish,3,Running,83,Muscle gain,Significant,Meal Tracker,67,Comments,Meal plans
*,"[54, 66[",******************************************************************,Male,118,177,37.7,Vegan,None,6,Yoga,39,Weight loss,Improved,Meal Tracker,118,None,Meal plans
*,"[36, 54[",******************************************************************,Male,72,152,31.2,Mediterranean,None,5,Cardio,56,Flexibility,Improved,Progress Tracker,50,Comments,Meal plans
*,"[54, 66[",******************************************************************,Non-binary,94,193,25.2,Low-fat,Peanuts,2,Cardio,75,Muscle gain,Significant,Progress Tracker,75,Messages,Workout videos
*,"[18, 36[",******************************************************************,Non-binary,95,159,37.6,Vegetarian,Peanuts,6,HIIT,102,Endurance,No change,Workout Creator,110,None,Workout videos
*,"[36, 54[",******************************************************************,Male,102,199,25.8,Vegan,None,4,Mixed,75,Muscle gain,Significant,Virtual Coach,32,Forum,Articles
*,"[18, 36[",******************************************************************,Female,69,163,26.0,Gluten-free,Peanuts,2,Yoga,62,Weight loss,Improved,Health Stats,82,Messages,Articles
*,"[18, 36[",******************************************************************,Non-binary,79,185,23.1,Low-carb,None,3,HIIT,77,Endurance,No change,Progress Tracker,33,None,Workout videos
*,"[36, 54[",******************************************************************,Non-binary,70,169,24.5,Vegan,Peanuts,3,Strength Training,76,Muscle gain,Improved,Health Stats,73,Comments,Articles
*,"[36, 54[",******************************************************************,Female,55,182,16.6,Mediterranean,None,5,Cardio,99,Endurance,Improved,Workout Creator,83,None,Meal plans
*,"[54, 66[",******************************************************************,Non-binary,111,181,33.9,Mediterranean,None,1,Cardio,67,Muscle gain,Moderate,Meal Tracker,63,Comments,Workout videos
*,"[54, 66[",******************************************************************,Non-binary,109,198,27.8,Gluten-free,None,3,Strength Training,85,Cardiovascular health,Significant,Health Stats,90,Messages,Articles
*,"[18, 36[",******************************************************************,Male,85,187,24.3,Keto,None,1,Running,26,Weight loss,Improved,Meal Tracker,15,None,Articles
*,"[36, 54[",******************************************************************,Female,98,198,25.0,Gluten-free,Shellfish,6,Cardio,70,Weight loss,Moderate,Workout Creator,15,Messages,Meal plans
*,"[54, 66[",******************************************************************,Non-binary,87,196,22.6,Vegan,Shellfish,1,Running,120,Flexibility,Moderate,Meal Tracker,51,Comments,Meal plans
*,"[18, 36[",******************************************************************,Female,90,199,22.7,Vegan,Dairy,1,HIIT,54,Flexibility,Improved,Workout Creator,15,Messages,Meal plans
*,"[54, 66[",******************************************************************,Female,105,186,30.4,Keto,Dairy,6,Cardio,101,Flexibility,Moderate,Virtual Coach,73,Comments,Workout videos
*,"[36, 54[",******************************************************************,Female,65,193,17.5,Gluten-free,Shellfish,6,Strength Training,51,Endurance,Moderate,Meal Tracker,35,Comments,Meal plans
*,"[36, 54[",******************************************************************,Non-binary,87,171,29.8,Paleo,Peanuts,5,Strength Training,115,Muscle gain,No change,Challenges,79,Forum,Workout videos
*,"[36, 54[",******************************************************************,Female,102,160,39.8,Paleo,Dairy,6,Yoga,109,Endurance,Moderate,Health Stats,37,None,Meal plans
*,"[18, 36[",******************************************************************,Female,108,176,34.9,Keto,Shellfish,7,Strength Training,64,Weight loss,Moderate,Challenges,107,Messages,Meal plans
*,"[54, 66[",******************************************************************,Male,90,171,30.8,Low-carb,Dairy,5,HIIT,82,Endurance,Significant,Workout Creator,111,Comments,Workout videos
*,"[36, 54[",******************************************************************,Male,53,161,20.4,Low-carb,Peanuts,5,Cardio,24,Endurance,Improved,Challenges,64,Forum,Meal plans
*,"[36, 54[",******************************************************************,Non-binary,105,150,46.7,Paleo,Peanuts,2,Running,88,Cardiovascular health,No change,Progress Tracker,34,Messages,Workout videos
*,"[18, 36[",******************************************************************,Non-binary,117,161,45.1,Vegetarian,Gluten,3,Running,102,Muscle gain,No change,Workout Creator,36,Comments,Articles
*,"[18, 36[",******************************************************************,Non-binary,68,181,20.8,Paleo,Peanuts,4,Strength Training,60,Cardiovascular health,Significant,Challenges,20,None,Meal plans
*,"[18, 36[",******************************************************************,Male,77,160,30.1,Vegan,None,3,HIIT,109,Cardiovascular health,Improved,Progress Tracker,84,Forum,Articles
*,"[54, 66[",******************************************************************,Male,70,159,27.7,Vegetarian,Dairy,7,Mixed,106,Weight loss,No change,Progress Tracker,99,Forum,Articles
*,"[18, 36[",******************************************************************,Male,70,197,18.0,Paleo,Dairy,7,HIIT,59,Cardiovascular health,Improved,Meal Tracker,53,Messages,Articles
*,"[54, 66[",******************************************************************,Non-binary,82,189,23.0,Mediterranean,Peanuts,4,Mixed,66,Flexibility,No change,Progress Tracker,16,Messages,Articles
